age,edu,female,use
30.72159239278434,1.0,1.0,0.0
44.47629225688799,1.0,1.0,0.0
35.15728175514646,1.0,1.0,0.0
36.512232398476584,1.0,1.0,0.0
36.93557866307385,1.0,1.0,0.0
29.64283127011543,1.0,1.0,0.0
22.02023577875881,1.0,1.0,0.0
45.08014633932586,1.0,1.0,0.0
27.848235255396077,1.0,1.0,0.0
55.64156128156287,1.0,1.0,0.0
17.847433431846202,1.0,1.0,0.0
48.05935385518852,1.0,1.0,0.0
38.29418032296253,1.0,1.0,0.0
34.648875833796396,1.0,1.0,0.0
63.17567776418186,1.0,1.0,0.0
34.12139132440909,1.0,1.0,0.0
48.034168586701114,1.0,1.0,0.0
41.6423079209036,1.0,1.0,0.0
43.11806918357839,1.0,1.0,0.0
28.61903256472597,1.0,1.0,0.0
29.329863671032555,1.0,1.0,0.0
31.667164773598717,1.0,1.0,0.0
45.509807915321765,1.0,1.0,0.0
45.10625653756286,1.0,1.0,0.0
26.454823226947788,1.0,1.0,0.0
20.659173133862595,1.0,1.0,0.0
58.49269356689057,1.0,1.0,0.0
43.51992989929406,1.0,1.0,0.0
40.854342980000254,1.0,1.0,0.0
28.483206763776057,1.0,1.0,0.0
45.95903112243318,1.0,1.0,0.0
40.70553168911673,1.0,1.0,0.0
30.452736564013854,1.0,1.0,0.0
26.734186933373046,1.0,1.0,0.0
40.36224626455543,1.0,1.0,0.0
37.88328430989811,1.0,1.0,0.0
19.675136883014414,1.0,1.0,0.0
43.64619447112472,1.0,1.0,0.0
30.71695119606447,1.0,1.0,0.0
30.607956672109687,1.0,1.0,0.0
29.128767025568763,1.0,1.0,0.0
40.43351812840839,1.0,1.0,0.0
29.474402720035286,1.0,1.0,0.0
49.10581162476347,1.0,1.0,0.0
37.716523234824344,1.0,1.0,0.0
52.499386901844886,1.0,1.0,0.0
49.89472944958752,1.0,1.0,0.0
45.86978001693657,1.0,1.0,0.0
23.07085044472035,1.0,1.0,0.0
35.63648668195603,1.0,1.0,0.0
44.485259007310134,1.0,1.0,0.0
41.202852914029506,1.0,1.0,0.0
17.796522877890617,1.0,1.0,0.0
24.902719724136983,1.0,1.0,0.0
32.53094272313696,1.0,1.0,0.0
32.74808168318249,1.0,1.0,0.0
16.194364271849523,1.0,1.0,0.0
33.51099261506728,1.0,1.0,0.0
40.639634127786934,1.0,1.0,0.0
30.132379514433516,1.0,1.0,0.0
37.34288991106068,1.0,1.0,0.0
38.52704507540097,1.0,1.0,0.0
45.055831381070305,1.0,1.0,0.0
37.36768726223774,1.0,1.0,0.0
